Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-04-09,6:59 PM,"Dinner","Maple Syrup","3.00 tbsp",153.56,0.00,0.00,0.41,0.00,19.13,0.04,0.75,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.24,0.01,0.06,12.40,1.72,1.18,125.21,0.35,7.09,0.87,39.60,39.60,0.00,0.00,0.00,0.00,35.71,0.04,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,"Sweets"
2023-04-09,7:10 PM,"Snacks","Lindt, Easter","3.00 serving",369.02,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,,26.10,26.10,,,,,25.20,28.20,,,,20.40,,,,,,,,,,,,,,,,3.00,,,,,"Sweets"
2023-04-09,7:24 AM,"Snacks","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-10,9:27 AM,"Breakfast","Sea Salt","3.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.00,0.00,0.27,0.00,0.00,0.00,0.00,1169.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2023-04-10,9:31 AM,"Breakfast","Egg, Raw","2.00 jumbo",195.30,0.00,0.00,0.00,0.00,94.02,0.08,0.65,0.08,1.76,0.15,1.40,13.86,55.44,188.16,0.00,109.62,1.30,0.38,63.00,0.02,1.50,12.60,0.03,216.72,158.76,38.81,156.24,1.32,1.40,1.41,0.00,0.00,0.00,0.00,1.41,13.37,469.98,5.14,1.78,4.12,0.00,0.09,0.03,0.05,0.01,1.65,0.19,1.46,0.37,0.38,0.86,1.35,1.14,0.49,0.84,15.85,0.76,0.19,0.65,0.97,"Dairy and Egg Products"
2023-04-10,9:26 AM,"Breakfast","Potatoes, Baked, Flesh and Skin, Without Salt","70.00 g",65.10,0.00,0.00,20.84,32.20,52.42,0.04,0.03,0.99,0.26,0.22,0.00,4.20,19.60,0.35,6.72,0.00,0.03,1.40,10.50,0.08,0.76,19.60,0.15,49.00,374.50,0.28,7.00,0.25,13.26,14.81,1.54,1.13,0.41,12.09,0.83,0.09,0.00,0.00,0.04,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.08,0.09,0.03,0.07,1.75,0.06,0.02,0.04,0.09,"Vegetables and Vegetable Products"
2023-04-10,9:23 AM,"Breakfast","Butter, Unsalted","15.00 g",107.55,0.00,0.00,0.02,0.00,2.61,0.00,0.01,0.01,0.02,0.00,0.03,23.70,0.45,102.63,0.00,1.54,0.35,1.05,2.10,0.00,0.00,0.30,0.00,2.85,2.85,0.15,1.50,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,12.23,35.10,3.51,0.45,7.57,0.49,0.05,0.05,0.00,0.00,0.15,0.00,0.15,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.13,0.01,0.00,0.01,0.01,"Fats and Oils"
2023-04-10,9:21 AM,"Breakfast","Parmesan Cheese, Dry, Grated","20.00 g",84.00,0.00,0.00,1.80,0.00,4.53,0.01,0.07,0.02,0.09,0.02,0.28,14.60,1.20,52.22,0.00,4.20,0.11,0.34,170.60,0.01,0.10,6.80,0.01,125.40,36.00,6.88,360.80,0.84,2.78,2.78,0.00,0.00,0.00,0.00,0.01,5.57,17.20,1.43,0.28,3.07,0.18,0.02,0.02,0.00,0.00,0.17,0.00,0.17,0.02,0.16,0.29,0.55,0.44,0.15,0.31,5.68,0.21,0.08,0.34,0.37,"Dairy and Egg Products"
2023-04-10,9:19 AM,"Breakfast","Beef Steak, Tenderloin or Filet Mignon, Visible Fat Eaten","3.00 oz",212.62,0.00,0.00,0.20,0.00,49.29,0.07,0.12,5.93,0.45,0.50,1.17,0.00,6.80,0.00,0.00,23.81,0.38,1.36,18.71,0.06,1.39,19.56,0.01,181.15,289.17,24.49,48.48,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.85,67.19,5.48,0.48,5.06,0.58,0.11,0.11,0.00,0.00,0.25,0.03,0.22,0.29,0.72,1.02,1.79,1.90,0.58,0.89,22.72,0.90,0.15,0.72,1.11,"Beef Products"
2023-04-10,12:24 PM,"Lunch","Egg fried rice with shrimp (Avacado oil)","0.70 full recipe",423.75,0.00,0.00,15.31,105.43,361.39,0.39,0.44,1.96,1.67,0.46,0.68,5300.23,89.47,624.90,20.73,53.59,2.51,30.59,99.42,0.23,2.58,53.10,0.97,231.94,523.23,29.29,159.95,1.96,48.83,55.77,6.51,4.47,2.04,30.66,12.25,16.87,229.77,9.37,2.42,3.32,0.00,0.17,0.14,0.02,0.00,2.02,0.09,1.92,0.28,0.33,0.67,1.09,0.90,0.35,0.70,15.17,0.66,0.17,0.49,0.79,"Ethnic Foods"
2023-04-10,12:25 PM,"Lunch","Beef Steak, Tenderloin or Filet Mignon, No Visible Fat Eaten","1.00 cup, cut pieces",275.41,0.00,0.00,0.30,0.00,80.45,0.09,0.22,7.24,0.82,0.54,2.31,0.00,13.50,0.00,0.00,8.10,0.58,2.03,9.45,0.10,3.42,27.00,0.01,260.56,340.21,42.80,55.35,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.15,121.50,5.29,0.50,4.61,0.55,0.14,0.12,0.00,0.00,0.24,0.03,0.21,0.53,1.32,1.88,3.29,3.50,1.08,1.63,41.41,1.65,0.27,1.32,2.05,"Beef Products"
2023-04-10,12:42 PM,"Lunch","Alma, 10% Coffee Cream","0.75 x 100.0 mL",89.57,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,3.45,3.45,,,,,3.45,7.50,,,,4.50,,,,,,,,,,,,,,,,2.25,,,,,"Dairy and Egg Products"
2023-04-10,6:32 PM,"Dinner","Huy Fong Foods, Inc., Sriracha Hot Chili Sauce, Canada","1.00 Tsp. (5mL)",0.00,,,,,,,,,,,,,,,,,,,0.00,,0.10,,,,20.00,,70.00,,1.00,1.00,0.00,,,,1.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.10,,,,,"Soups, Sauces, and Gravies"
2023-04-10,6:31 PM,"Dinner","Ocean's, Albacore Solid White Tuna in Water","220.00 g",240.00,,,,,161.02,0.02,0.10,12.76,0.27,0.48,2.57,,4.40,13.20,,176.00,1.87,5.50,30.80,0.09,2.13,72.60,0.04,477.40,521.40,144.54,760.00,1.06,0.00,0.00,,,,,0.00,2.00,,,,0.80,0.00,,,,,,,,0.56,1.53,2.39,4.22,4.77,1.54,2.03,52.00,2.28,0.58,1.75,2.68,"Finfish and Shellfish Products"
2023-04-10,6:30 PM,"Dinner","Hellman's, Real Mayonnaise, Canada","1.00 tbsp (15ml)",100.00,,,,,2.79,0.00,0.01,0.00,,0.00,,,,0.00,0.00,,1.52,3.17,0.90,,0.03,0.13,,3.21,1.80,0.21,95.00,0.02,0.04,0.04,0.00,,,,0.04,10.00,5.00,6.00,3.00,1.00,0.00,0.90,,,,2.00,,,,,,,,,,0.10,,,,,"Fats and Oils"
2023-04-10,6:30 PM,"Dinner","Country Harvest, 14 Grains","1.00 Per slice",100.00,,,,,,0.12,0.03,2.00,0.40,0.08,,,24.00,0.00,0.00,,0.81,,20.00,0.12,1.08,40.00,0.60,80.00,80.00,10.50,135.00,1.20,15.00,18.00,3.00,,,,2.00,2.00,0.00,0.40,1.00,0.40,0.00,0.40,,,,0.60,,,,,,,,,,5.00,,,,,"Baked Products"
2023-04-10,6:42 PM,"Dinner","Liberte, Greek Yogurt, Extra Creamy, Plain","125.00 g",114.29,,,,,,,,,,,,,,,,,,,160.71,,0.00,,,,178.57,,46.43,,4.29,4.29,0.00,,,,4.29,6.43,21.43,,,3.57,0.21,,,,,,,,,,,,,,,10.71,,,,,"Dairy and Egg Products"
2023-04-10,6:44 PM,"Dinner","Eisele's, Raw Honey","10.00 g",30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,8.10,8.10,,,,,7.62,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,"Sweets"
2023-04-10,6:52 PM,"Dinner","Lemon Juice, Raw","0.10 each - juice from one lemon",1.06,0.00,0.00,0.02,0.00,4.43,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.96,0.01,1.86,0.00,0.01,0.00,0.29,0.00,0.00,0.29,0.00,0.38,4.94,0.00,0.05,0.00,0.32,0.33,0.01,0.01,0.00,0.00,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2023-04-10,6:39 PM,"Snacks","Pistachio Nuts, Roasted, Salted","40.00 g",227.60,0.00,0.00,19.60,116.00,0.72,0.28,0.09,0.55,0.21,0.45,0.00,63.60,20.40,5.30,1.20,0.00,0.87,5.28,42.80,0.52,1.61,43.60,0.50,187.60,402.80,4.00,171.20,0.94,6.90,11.02,4.12,4.00,0.12,0.55,3.10,18.33,0.00,9.81,5.34,2.26,0.00,0.08,0.08,0.00,0.00,5.25,0.00,5.25,0.12,0.21,0.38,0.67,0.48,0.15,0.46,8.42,0.29,0.10,0.21,0.52,"Nut and Seed Products"
2023-04-10,7:24 AM,"Snacks","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-11,7:24 AM,"Uncategorized","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-11,7:24 AM,"Breakfast","Coffee, Prepared From Grounds","12.00 fl oz",3.55,0.00,142.08,1.42,24.86,353.04,0.05,0.27,0.68,0.90,0.00,0.00,0.00,7.10,0.00,0.00,0.00,0.04,0.36,7.10,0.01,0.04,10.66,0.08,10.66,174.05,0.00,7.10,0.07,0.00,1.67,1.67,0.00,1.67,0.00,0.00,0.07,0.00,0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.43,0.00,0.00,0.01,0.01,"Beverages"
2023-04-11,7:24 AM,"Breakfast","Alma, 10% Coffee Cream","0.40 x 100.0 mL",47.77,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,1.84,1.84,,,,,1.84,4.00,,,,2.40,,,,,,,,,,,,,,,,1.20,,,,,"Dairy and Egg Products"
2023-04-11,8:02 AM,"Breakfast","Protein milkshake","1.00 full recipe",640.83,0.00,0.00,1.07,0.00,472.92,0.30,0.74,0.56,1.94,0.33,2.90,37.58,0.00,169.54,0.00,206.13,0.27,1.61,888.39,0.01,0.82,64.42,0.00,542.17,805.20,10.20,318.05,2.25,44.43,44.45,0.00,0.00,0.00,0.00,41.42,19.46,189.88,3.69,0.58,10.90,0.60,0.08,0.06,0.00,0.01,0.48,0.02,0.45,0.10,0.52,0.93,1.79,1.60,0.48,0.86,74.58,0.83,0.23,0.87,1.11,""
2023-04-11,8:09 AM,"Breakfast","Gym water","1.00 full recipe",20.30,0.00,0.00,0.00,0.00,749.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.08,0.00,122.50,0.00,0.00,0.00,0.00,30.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,""
2023-04-11,1:33 PM,"Lunch","Peppers, rice, shrimp","1.00 full recipe",673.88,0.00,0.00,9.94,132.01,369.15,0.18,0.19,5.59,1.80,0.96,2.52,1138.24,90.68,246.57,114.12,6.08,8.61,21.34,189.24,0.59,1.90,93.34,1.19,558.04,623.52,88.59,1446.26,3.65,55.78,59.09,3.14,2.09,1.05,45.49,6.21,31.08,320.72,21.09,3.95,4.80,0.10,0.69,0.26,0.21,0.21,2.91,0.10,2.81,0.50,0.87,1.78,3.31,3.50,1.10,1.75,39.97,1.55,0.46,1.44,1.89,""
2023-04-11,12:38 PM,"Lunch","Avocados, Raw, Florida","100.00 g",120.00,,,,,78.81,0.02,0.05,0.67,0.93,0.08,,53.00,35.00,7.00,17.40,,2.66,,10.00,0.31,0.17,24.00,0.09,40.00,351.00,,2.00,0.40,2.22,7.82,5.60,,,,2.42,10.06,,5.51,1.68,1.96,,0.10,,,,1.58,,,0.03,0.06,0.09,0.16,0.15,0.04,0.11,2.23,0.08,0.03,0.05,0.12,"Fruits and Fruit Juices"
2023-04-11,2:40 PM,"Lunch","Metamucil, Sugar-Free, Orange Smooth","1.00 x 2.0 rounded teaspoons",45.00,,,,,,,,,,,,,,,,,,,,,1.40,,,,70.00,,10.00,,5.00,11.00,6.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-11,7:02 PM,"Dinner","La Molisana, Egg Nest Pasta","2.00 x 2.0 nests",280.00,,,,,,,,,,,,,,,,,,,60.00,,2.50,,,,414.00,,42.00,,110.00,116.00,6.00,,,,4.00,6.00,190.00,,,2.00,0.00,,,,,,,,,,,,,,,24.00,,,,,"Cereal Grains and Pasta"
2023-04-11,7:05 PM,"Dinner","Parmesan Cheese, Dry, Grated","18.00 g",75.60,0.00,0.00,1.62,0.00,4.08,0.00,0.06,0.01,0.08,0.01,0.25,13.14,1.08,46.99,0.00,3.78,0.10,0.31,153.54,0.01,0.09,6.12,0.01,112.86,32.40,6.19,324.72,0.76,2.50,2.50,0.00,0.00,0.00,0.00,0.01,5.01,15.48,1.28,0.25,2.77,0.16,0.02,0.02,0.00,0.00,0.16,0.00,0.16,0.02,0.15,0.26,0.49,0.40,0.14,0.28,5.12,0.19,0.07,0.31,0.34,"Dairy and Egg Products"
2023-04-11,7:05 PM,"Dinner","Eggs, Cooked","3.00 medium",204.60,0.00,0.00,0.00,0.00,98.50,0.09,0.68,0.08,1.85,0.16,1.47,14.52,58.08,197.12,0.00,114.84,1.36,0.40,66.00,0.02,1.57,13.20,0.03,227.04,166.32,40.66,163.68,1.39,1.47,1.48,0.00,0.00,0.00,0.00,1.48,14.01,492.36,5.38,1.87,4.31,0.00,0.09,0.03,0.05,0.01,1.73,0.20,1.52,0.39,0.39,0.91,1.42,1.19,0.52,0.88,16.61,0.80,0.20,0.68,1.01,"Dairy and Egg Products"
2023-04-11,7:06 PM,"Dinner","Butter, Salted","1.00 tsp",34.43,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.01,0.00,0.00,7.95,0.24,35.87,0.00,0.76,0.00,0.33,0.99,0.00,0.00,0.09,0.00,1.04,1.09,0.00,24.79,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.03,3.89,11.12,0.80,0.12,2.16,0.16,0.02,0.01,0.00,0.00,0.10,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,"Fats and Oils"
2023-04-11,7:06 PM,"Dinner","Egg Yolk, Raw","1.00 large",55.44,0.00,0.00,0.00,0.00,8.65,0.03,0.08,0.00,0.50,0.06,0.32,14.61,24.24,63.29,0.00,36.19,0.94,0.12,21.41,0.01,0.45,0.83,0.01,64.74,18.09,9.26,7.97,0.38,0.16,0.17,0.00,0.00,0.00,0.00,0.09,4.78,180.11,1.95,0.70,1.59,0.00,0.03,0.01,0.02,0.00,0.65,0.07,0.57,0.04,0.06,0.13,0.22,0.20,0.07,0.11,2.69,0.13,0.03,0.11,0.14,"Dairy and Egg Products"
2023-04-11,11:31 AM,"Snacks","Kirkland Signature, Roasted Whole Cashews, Unsalted","33.00 g",191.40,,,,,1.15,0.12,0.07,0.57,0.29,0.11,,,8.25,,0.10,,0.30,11.45,13.20,0.67,1.98,90.09,0.55,175.23,198.00,6.70,3.30,1.77,8.58,9.90,1.32,,,3.61,1.98,15.84,0.00,8.55,2.82,2.97,0.00,0.02,,,,2.80,,,0.12,0.14,0.24,0.45,0.28,0.11,0.29,5.28,0.21,0.09,0.15,0.33,"Nut and Seed Products"
2023-04-11,3:24 PM,"Snacks","Liberte, Greek Yogurt, Extra Creamy, Plain","1.00 x 0.75 Cup",160.00,,,,,,,,,,,,,,,,,,,225.00,,0.00,,,,250.00,,65.00,,6.00,6.00,0.00,,,,6.00,9.00,30.00,,,5.00,0.30,,,,,,,,,,,,,,,15.00,,,,,"Dairy and Egg Products"
2023-04-11,3:25 PM,"Snacks","Honey","1.50 tsp",32.21,0.00,0.00,0.03,0.00,1.81,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.21,0.00,0.05,0.00,0.00,0.00,0.64,0.00,0.04,0.21,0.01,0.42,5.51,0.08,0.42,0.02,8.67,8.73,0.02,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,"Sweets"
2023-04-12,7:02 AM,"Uncategorized","Gym water","1.00 full recipe",20.30,0.00,0.00,0.00,0.00,749.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.08,0.00,122.50,0.00,0.00,0.00,0.00,30.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,""
2023-04-12,7:24 AM,"Uncategorized","CanPrev, Magnesium Bis-Glycinate 200","2.00 capsule",,,,,,,,,,,,,,,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2023-04-12,8:02 AM,"Breakfast","Protein milkshake","1.00 full recipe",640.83,0.00,0.00,1.07,0.00,472.92,0.30,0.74,0.56,1.94,0.33,2.90,37.58,0.00,169.54,0.00,206.13,0.27,1.61,888.39,0.01,0.82,64.42,0.00,542.17,805.20,10.20,318.05,2.25,44.43,44.45,0.00,0.00,0.00,0.00,41.42,19.46,189.88,3.69,0.58,10.90,0.60,0.08,0.06,0.00,0.01,0.48,0.02,0.45,0.10,0.52,0.93,1.79,1.60,0.48,0.86,74.58,0.83,0.23,0.87,1.11,""
2023-04-12,12:25 PM,"Lunch","Peppers, rice, shrimp","1.00 full recipe",673.88,0.00,0.00,9.94,132.01,369.15,0.18,0.19,5.59,1.80,0.96,2.52,1138.24,90.68,246.57,114.12,6.08,8.61,21.34,189.24,0.59,1.90,93.34,1.19,558.04,623.52,88.59,1446.26,3.65,55.78,59.09,3.14,2.09,1.05,45.49,6.21,31.08,320.72,21.09,3.95,4.80,0.10,0.69,0.26,0.21,0.21,2.91,0.10,2.81,0.50,0.87,1.78,3.31,3.50,1.10,1.75,39.97,1.55,0.46,1.44,1.89,""
