food_id,food_name,brand,original_serving,calories_per_original_serving,protein_g_per_original_serving,carbs_g_per_original_serving,fat_g_per_original_serving,fiber_g_per_original_serving,sodium_mg_per_original_serving,diary_entries,first_logged,last_logged,review_status
939dc95d-8d10-4f62-91b1-402a391ecabf,Cactus club Cajun chicken sandwich,,1.00 1,733.0,40.0,42.0,45.0,4.0,1180.0,1,2026-06-05,2026-06-05,Needs verified grams per original serving
467f34bb-6c97-4bc0-a516-d19cf9c3f9b8,Cactus Club Crispy Chicken Sandwitch,,1.00 1,970.0,46.0,67.0,52.0,4.0,1590.0,1,2026-04-12,2026-04-12,Needs verified grams per original serving
aa788f9d-2d03-4dd0-9c84-f1979c68bf39,Cactus club The Med Bowl - chicken,,1.00 1,870.0,39.0,78.0,40.0,8.0,1880.0,1,2024-03-21,2024-03-21,Needs verified grams per original serving
c333e9af-98cc-4919-9460-ed9841be1f98,"Celery, Raw",,"2.00 small - stalk - 5"" long",5.1,0.17,1.13,0.05,0.54,32.98,1,2023-05-20,2023-05-20,Needs verified grams per original serving
3efd812e-84d2-4d86-aa9c-8f6eb74b1582,"Chicken Enchiladas, without Beans or Cheese",,"1.00 each - 6"" long, 6"" diameter tortilla rolled",145.24,11.73,15.39,4.06,1.8,564.95,1,2023-07-31,2023-07-31,Needs verified grams per original serving
0e9134e4-5a25-4a27-895f-91ea62470754,Chicken Salad Sandwich,,1.80 sandwich,615.63,29.99,53.7,30.46,3.24,986.56,1,2024-02-13,2024-02-13,Needs verified grams per original serving
69cbcfb2-5bcf-42f8-97b4-d247b4ce89de,"Chicken Tenders, Strips or Fingers, Store Bought",,1.50 strip,235.41,14.12,14.26,13.18,0.56,606.12,1,2024-02-16,2024-02-16,Needs verified grams per original serving
6b90246b-e632-4b9c-b39a-926c53532139,"Chili's, Baby Back Ribs, Dry Rub, Half Rack",,1.26 Serving,982.8,63.0,28.98,68.04,2.52,3729.6,1,2025-02-09,2025-02-09,Needs verified grams per original serving
2f5a0c5a-fea0-43e1-9a63-b494132124a6,"Chipotle Chicken Fajita Burrito (Brown Rice, Guacamole, Fajita Veggies, Pinto Beans, Cheese)",,0.90 Burrito,927.0,54.0,99.0,38.25,18.9,,1,2024-11-05,2024-11-05,Needs verified grams per original serving
46da7928-ac03-4d57-a629-2046f0c8282a,"Cilantro, Leaves, Raw",,"1.00 tbsp, chopped",0.23,0.02,0.04,0.01,0.03,0.46,1,2023-07-29,2023-07-29,Needs verified grams per original serving
e575023e-7377-43ed-ba6e-df8401d8a310,"Danish Farms, Butter Cookies",,0.25 x 4.0 Cookies,40.0,0.5,5.25,1.75,0.0,16.25,1,2025-07-24,2025-07-24,Needs verified grams per original serving
58e0fa5d-ef82-40a4-b285-3964e2725e62,"Davert, No7 Noodle Cup, Tomato Sauce",,1.50 Serving,338.52,12.04,73.56,1.95,8.46,1432.2,1,2023-09-03,2023-09-03,Needs verified grams per original serving
5579b459-22ad-4ae3-9aca-e376078bbf99,"Dempster, 100% Whole Grains, 12 Grain",,0.50 x 2.0 slices,95.0,4.0,16.5,1.75,2.0,135.0,1,2023-10-08,2023-10-08,Needs verified grams per original serving
5481fc3b-fc30-4307-a0a6-5c0a8ca638b2,"D' Italiano, Hamburger Buns, Brioche Style",,1.00 Bun,190.0,6.0,34.0,3.5,1.0,300.0,1,2025-07-28,2025-07-28,Needs verified grams per original serving
73390bd0-f13b-44eb-a9ef-c3ea53576045,"Farmer's Market, Butter Tarts, Pecan",,1.00 tart,380.0,4.0,48.0,20.0,2.0,200.0,1,2025-11-06,2025-11-06,Needs verified grams per original serving
974f0f76-e041-4ce3-b3b9-2209ac22ecd8,"Feature Foods, Herring Fillets in Wine Marinade",,2.00 serving,210.0,16.0,14.0,10.0,0.0,940.0,1,2023-12-25,2023-12-25,Needs verified grams per original serving
650a51e7-c2a5-4afa-9434-f7e731d1d843,"Firebirds, Smokehouse Chicken Sandwich",,1.00 Serving,680.0,44.0,72.0,21.0,0.0,1440.0,1,2025-09-27,2025-09-27,Needs verified grams per original serving
9ae7864c-cf2c-490a-b6cb-87850e4b7a4b,"Fish, Battered and Fried",,1.50 fillet (16cm x 9cm x 1cm),395.97,33.99,12.52,22.49,0.4,201.0,1,2023-04-27,2023-04-27,Needs verified grams per original serving
46e5e6f6-b8ff-4fe2-a2d1-39bd1b67986e,"Five Guys, Cheeseburger",,1.00 Serving,980.0,47.0,40.0,55.0,2.0,1050.0,1,2023-11-04,2023-11-04,Needs verified grams per original serving
eac8502f-ee8c-4347-930f-d471a930686a,Focaccia Bread,,"0.30 slice - 1/8 of 12"" diameter",67.33,1.52,10.11,2.25,0.49,177.4,1,2023-06-23,2023-06-23,Needs verified grams per original serving
473869a8-faac-4096-9291-0fecd316a8c5,"Frive, Chicken Shawarma",,1.70 serving,973.67,79.73,91.76,30.84,,1293.67,1,2025-03-16,2025-03-16,Needs verified grams per original serving
f3ee6e2f-7650-4dde-86a8-3c427367a1c1,"Good Days, Greek Salad",,1.00 Salad,200.0,9.0,14.0,13.0,5.0,1450.0,1,2023-07-12,2023-07-12,Needs verified grams per original serving
84429c5f-a490-4419-bc6e-9f94a0a0fd20,"Good to Go, Blondies, Chocolate Chip",,2.60 x 2.0 Blondies,520.0,13.0,41.6,36.4,15.6,234.0,1,2025-09-25,2025-09-25,Needs verified grams per original serving
26e76bb5-484c-4ecd-9fd4-7b04bf10924c,Greek Style Chicken Salad,,1.00 x 0.5 salad,200.0,13.0,6.0,14.0,2.0,700.0,1,2024-04-20,2024-04-20,Needs verified grams per original serving
16ac0a69-16cb-4be2-be19-edf46c71f568,"Hardbite, Chips, Wild Onion & Yogurt",,1.50 x 20.0 chips serving,300.0,6.0,36.0,15.0,4.5,225.0,1,2025-04-11,2025-04-11,Needs verified grams per original serving
6bdeb0c1-7d3b-4a86-a2a9-42c0a22f8b0e,"Hardee's, Fried Chicken Thigh",,1.00 thigh,339.22,19.19,30.15,15.05,1.19,999.92,1,2026-04-11,2026-04-11,Needs verified grams per original serving
37805f17-d268-43a7-af43-c8f7b91f56b0,"HEB, Salmon Nigiri, Raw",,2.00 x 6.0 pieces,580.0,32.0,68.0,18.0,0.0,1340.0,1,2024-03-16,2024-03-16,Needs verified grams per original serving
c3f213b0-ca89-41d5-9681-c05a9ddc1d9e,"Hornby Organic, Chocolate Espresso",,1.00 bar,370.0,10.0,43.0,19.0,5.0,90.0,1,2026-04-11,2026-04-11,Needs verified grams per original serving
fb457a44-7c22-422d-a8cc-6bf769c96f6e,"Hot Dog Bun, White",,"1.00 regular - 6"" x 2"" x 1 1/2""",119.97,4.2,21.55,1.68,0.77,212.42,1,2025-05-17,2025-05-17,Needs verified grams per original serving
cd7995ec-6185-49f6-9344-9f80e12efe9b,Jimmy John's Jjblt Sandwich,,1.20 regular,689.77,27.3,56.48,39.23,3.28,1611.82,1,2025-01-25,2025-01-25,Needs verified grams per original serving
aee9aacb-d346-45db-b3c7-39cc310d1550,"Kettle & Fire, Bone Broth, Classic Beef",,0.70 container,56.0,13.3,0.35,0.0,0.35,518.0,1,2023-12-09,2023-12-09,Needs verified grams per original serving
1bfe3d6e-e71a-4c2b-9954-4d2952f21a2b,"Kettle Potato Chips, Sea Salt & Vinegar",,3.00 chip,34.28,0.32,3.69,2.1,0.38,48.51,1,2023-05-22,2023-05-22,Needs verified grams per original serving
582eafc0-6ad7-4969-93a9-defb5d694b51,"KFC, Cole Slaw",,0.50 order,85.74,0.51,7.29,6.28,1.01,90.46,1,2023-09-24,2023-09-24,Needs verified grams per original serving
5201cb3a-5d7a-42a7-9901-b25702e3628f,"Kii Naturals, Artisan Crackers, Cranberry & Cashew",,2.00 serving,140.0,6.0,26.0,3.0,2.0,260.0,1,2025-07-12,2025-07-12,Needs verified grams per original serving
796eba23-f81f-4435-9434-7033b7b9572d,"Kind, Maple Glazed Pecan & Sea Salt",,1.00 bar,210.0,5.0,14.0,17.0,5.0,140.0,1,2025-09-05,2025-09-05,Needs verified grams per original serving
13a2b7c5-b166-4caf-bbb2-3ca021cf6ce5,"King's, Hawaiian Sweet Rolls, Original",,1.00 roll,90.0,2.0,14.0,2.0,0.5,75.0,1,2025-08-31,2025-08-31,Needs verified grams per original serving
e945064d-82d6-4234-988f-56b5f22c7980,"Kura Sushi, Spicy Scallop Hand Roll, Seaweed",,2.00 Serving,200.0,10.0,24.0,6.0,2.0,270.0,1,2024-10-22,2024-10-22,Needs verified grams per original serving
df5341b9-5961-4b9a-98a3-49f74acef372,"Kura Sushi, Tamago",,0.30 Serving,39.0,1.8,5.7,0.9,,66.0,1,2026-05-06,2026-05-06,Needs verified grams per original serving
89c61dc8-b000-4250-a477-8dc34c80fac6,"Lamb Ribs, Rack, No Visible Fat Eaten",,6.00 rib,348.0,39.24,0.0,19.97,0.0,121.5,1,2024-01-05,2024-01-05,Needs verified grams per original serving
01fddf53-5d13-4f14-9378-d6646d169cef,"La Molisana, Egg Nest Pasta",,2.00 x 2.0 nests,280.0,24.0,116.0,6.0,6.0,42.0,1,2023-04-11,2023-04-11,Needs verified grams per original serving
baef4015-a3bb-4f17-9ad6-a24c203f26f0,"Lasagna, Homemade, Beef",,"2.50 square - approx 3"" x 3""",799.28,52.43,63.18,37.37,6.35,1599.67,1,2024-03-30,2024-03-30,Needs verified grams per original serving
69534b8f-2a0d-4d49-b0be-9dcae35bc82c,"Lesley Stowe, Raincoast Crisps, Cranberry and Hazelnut Crackers",,1.00 x 4.0 crackers,80.0,3.0,12.0,2.5,1.0,130.0,1,2025-05-18,2025-05-18,Needs verified grams per original serving
59c05abe-c1a1-4d94-9788-fe238020b017,"Lettuce, Red Leaf",,"1.00 cup, chopped",4.2,0.25,0.91,0.03,0.25,7.0,1,2023-06-28,2023-06-28,Needs verified grams per original serving
6b69d5a1-2321-4192-9329-c526c71ec4d1,"Lindt, Gold Bunny, Dark Chocolate",,1.00 x 0.5 bunny,270.0,4.0,22.0,20.0,5.0,0.0,1,2025-05-09,2025-05-09,Needs verified grams per original serving
be8da6f2-cea7-47e8-a2e9-dcb3b77e1039,"Lindt, Lindor, Latte",,0.50 Serving,306.5,2.35,22.0,23.0,,30.0,1,2023-04-14,2023-04-14,Needs verified grams per original serving
7eb90504-d921-4d03-98db-4876d1490af0,"Magnum, Double Caramel",,1.00 bar,260.0,3.0,29.0,16.0,1.0,70.0,1,2025-07-29,2025-07-29,Needs verified grams per original serving
4b428787-1a68-4cf2-afc5-4c504981c17b,"McDonald's, Chicken McNuggets",,1.00 nugget,42.7,2.38,2.47,2.54,0.12,82.51,1,2025-05-09,2025-05-09,Needs verified grams per original serving
b07e533f-7d7f-4113-b230-7d03d03c6519,"Member's Selection, 1/3 Pound Angus Beef & Beef Patties",,1.00 Patty,370.0,26.0,0.0,30.0,0.0,100.0,1,2026-04-12,2026-04-12,Needs verified grams per original serving
61f7df72-f24f-4f82-b360-a4977810f37f,"Mid-Day Squares, Functional Chocolate Bar, Fudge Yah",,6.00 square,960.0,36.0,78.0,66.0,24.0,510.0,1,2023-12-16,2023-12-16,Needs verified grams per original serving
6955e982-e405-42b9-99af-ce8098d5e640,"Mini Donuts, Powdered & Cinnamon",,1.00 x 3.0 mini donuts,190.0,0.0,25.0,9.0,1.0,220.0,1,2025-04-05,2025-04-05,Needs verified grams per original serving
